"","first_name","last_name","gender","student_id","GPA","age","postcode","program"
"1","Rachel","Williamson","F",46313074,6.24,28,4106,"Bachelor Business Management/Arts"
"2","Rose","Hayes","F",49508639,2.65,20,4067,"Bachelor Business Management/Science"
"3","Wayne","Hansen","M",46015146,5.48,30,4065,"Bachelor Engineering /Arts"
"4","Shawn","Cox","M",47874457,4.87,32,4066,"Bachelor Business Management/Arts"
"5","Kenneth","Austin","M",36462537,3.68,22,4104,"Bachelor Science  - St Lucia"
"6","Cheryl","Mccoy","F",46877839,3.49,48,4104,"Bachelor Information Technology/Arts"
"7","Ernest","Turner","M",33195865,2.56,29,4104,"Bachelor Mathematics/Science"
"8","John","Wheeler","M",38174108,5.06,41,4105,"Bachelor Business Management/Science"
"9","Mildred","Hicks","F",43901385,5.84,41,4105,"Bachelor Arts/Social Science"
"10","Ronald","Fisher","M",37715732,5.01,26,4064,"Bachelor Arts/International Hotel and Tourism Management"
"11","Emily","Fernandez","F",42495793,3.52,35,4066,"Bachelor Science (St Lucia)"
"12","Carlos","Arnold","M",38868530,6.05,27,4102,"Bachelor Arts/International Hotel and Tourism Management"
"13","Gary","Sanders","M",42474691,5.72,27,4069,"Bachelor Business Management/Journalism"
"14","Karen","Mitchell","F",38228478,3.72,26,4103,"Bachelor Business Management/Laws"
"15","Bobby","Mendoza","M",47604082,6.01,32,4120,"Bachelor Science/Arts"
"16","Frances","Morgan","F",42960440,3.07,18,4101,"Bachelor Commerce/Arts"
"17","Ashley","Hughes","F",46570460,2.51,26,4068,"Bachelor Biotechnology"
"18","Sandra","Harrison","F",40714150,5.01,21,4120,"Bachelor Mathematics/Science"
"19","Benjamin","Rice","M",49425339,3.66,38,4067,"Bachelor Information Technology/Arts"
"20","Jack","Patterson","M",48155107,4.3,57,4102,"Bachelor Arts/International Hotel and Tourism Management"
"21","Louise","Bennett","F",44885724,4.18,19,4105,"Bachelor Economics/Arts"
"22","Donald","Matthews","M",34686939,3.85,21,4067,"Bachelor Mathematics/Science"
"23","Thomas","Montgomery","M",41103343,6.03,19,4101,"Bachelor Biomedical Science/Science"
"24","Lois","Woods","F",34024681,5.34,19,4068,"Bachelor Journalism/Arts"
"25","Jonathan","Harris","M",33887050,4.36,47,4000,"Bachelor Music /Science"
"26","Juan","Fowler","M",45843107,3.84,21,4169,"Bachelor Commerce/Arts"
"27","Pamela","Porter","F",30957647,5.17,38,4075,"Bachelor Journalism/Arts"
"28","Chris","Jones","M",41818114,5.46,40,4000,"Bachelor Engineering /Information Technology"
