cus.id,ind.name,ind.birthday
1000047,Taylor Swifft,2000-04-07
1000046,KT Perry,1992-04-08
1000038,Kao Okamori,1998-05-09
1000049,Eddy Mafy,1976-04-10
1000023,Mikael Jhoen,1932-04-11
1000021,Taichi Fukagawa,1972-05-12
1000017,Ane Hassa,1955-04-13
1000041,Eiichiro Yoshioka,1988-01-14
1000039,Yuko Kkinami,1992-04-15
1000026,Line Edwars,1982-04-16
1000050,Michel Jachoso,2002-07-17
1000020,Yoshio Endo,1980-04-18
1000024,April Suzan,2002-04-19
1000051,Pop Star,1992-04-20
1000044,Harry Potter,2001-10-21
1000040,Junhi Oman,2006-12-22
1000025,Tubasa Honma,2002-04-23
1000048,Engine K,1992-04-24
1000014,Suguri Murano,1999-04-25
1000015,Kona Ogawa,1972-12-26
1000022,Erick Oman,2004-04-27
1000042,Ni Neel,1962-04-28
1000043,Donald Trump,1967-03-29
1000016,Jane Smith,1997-03-30
1000045,Margaret Yoho,1987-05-01
1000019,Mikiko Sasanami,1990-05-02
1000013,Shio Nishi,1989-01-03
1000018,Shone Koma,2001-05-04
1000011,Mike Nakata,2003-12-05
1000012,Ben Jone,2010-07-06
1000037,Yuichi Muraoka,2007-08-07
1000036,Kone Nidko,2001-05-08
